X,Y,Start_time,Duration (min)
15.0,0.0,18:53,1.0
15.0,0.0,18:54,1.0
15.0,2.0,18:55,1.0
15.0,4.0,18:56,1.0
15.0,6.0,18:57,1.0
15.0,6.0,18:58,1.0
15.0,8.0,18:59,1.0
15.0,10.0,19:00,1.0
15.0,12.0,19:01,1.0
15.0,14.0,19:02,1.0
15.0,16.0,19:03,1.0
15.0,18.0,19:04,1.0
15.0,20.0,19:05,1.0
15.0,22.0,19:06,1.0
15.0,24.0,19:07,1.0
15.0,26.0,19:08,1.0
15.0,28.0,19:09,1.0
15.0,30.0,19:10,1.0
15.5,30.5,19:11,1.0
17.5,30.5,19:12,1.0
19.5,30.5,19:13,1.0
21.5,30.5,19:14,1.0
23.5,30.5,19:15,1.0
25.5,30.5,19:16,1.0
27.5,30.5,19:17,1.0
28.5,29.5,19:18,1.0
28.5,27.5,19:19,1.0
28.5,25.5,19:20,1.0
28.5,23.5,19:21,1.0
28.5,21.5,19:22,1.0
28.5,19.5,19:23,1.0
28.5,17.5,19:24,1.0
28.5,15.5,19:25,1.0
28.5,13.5,19:26,1.0
28.5,11.5,19:27,1.0
28.5,9.5,19:28,1.0
28.5,7.5,19:29,1.0
28.5,5.5,19:30,1.0
28.5,3.5,19:31,1.0
28.5,1.5,19:32,1.0
28.0,0.0,19:33,1.0
26.0,0.0,19:34,1.0
24.0,0.0,19:35,1.0
22.0,0.0,19:36,1.0
20.0,0.0,19:37,1.0
18.0,0.0,19:38,1.0
16.0,0.0,19:39,1.0
15.0,0.0,19:40,1.0
